#,Bank_Name_Arabic,Bank_Name_English,Bank_SWIFT_Code,Branch_City,Bank_url,Bank_Category_Arabic,Bank_Category_English,Bank_Activity_Type_Arabic,Bank_Activity_Type_English,Bank_Unified_Number,Bank_Commercial_Register_Number
1,البنك الأهلي السعودي,Saudi National Bank (SNB),NCBKSAJE,JEDDAH,https://www.alahli.com/,البنوك المحلية,Local Banks,مزاولة أعمال مصرفية,Banking Business,7000025887,4030001588
2,مصرف الراجحي,Al Rajhi Bank,RJHISARI,RIYADH,http://www.alrajhibank.com.sa/,البنوك المحلية,Local Banks,مزاولة أعمال مصرفية-(حصل المصرف على عدم ممانعة البنك المركزي على الاستفادة من نشاط الوكالة المصرفية).,"Banking Business-(The bank obtained the Central Bank's no objection, to provide the bank's services through agent banking).",7000102744,1010000096
3,بنك الرياض,Riyad Bank,RIBLSARI,RIYADH,http://www.riyadbank.com/,البنوك المحلية,Local Banks,مزاولة أعمال مصرفية-(حصل المصرف على عدم ممانعة البنك المركزي على الاستفادة من نشاط الوكالة المصرفية).,"Banking Business-(The bank obtained the Central Bank's no objection, to provide the bank's services through agent banking).",7000022868,1010001054
4,البنك السعودي الأول (ساب),Saudi Awwal Bank (SAB),SABBSARI,RIYADH,https://www.sab.com/,البنوك المحلية,Local Banks,مزاولة أعمال مصرفية,Banking Business,7000018668,1010025779
5,البنك العربي الوطني,Arab National Bank,ARNBSARI,RIYADH,http://www.anb.com.sa/,البنوك المحلية,Local Banks,مزاولة أعمال مصرفية-(حصل المصرف على عدم ممانعة البنك المركزي على الاستفادة من نشاط الوكالة المصرفية).,"Banking Business-(The bank obtained the Central Bank's no objection, to provide the bank's services through agent banking).",7000018007,1010027912
6,مصرف الانماء,Al Inma Bank,INMASARI,RIYADH,http://www.alinma.com/,البنوك المحلية,Local Banks,مزاولة أعمال مصرفية,Banking Business,7001514442,1010250808
7,البنك السعودي الفرنسي,Banque Saudi Fransi,BSFRSARI,RIYADH,http://www.alfransi.com.sa/,البنوك المحلية,Local Banks,مزاولة أعمال مصرفية-(حصل المصرف على عدم ممانعة البنك المركزي على الاستفادة من نشاط الوكالة المصرفية).,"Banking Business-(The bank obtained the Central Bank's no objection, to provide the bank's services through agent banking).",7000025333,1010073368
8,البنك السعودي للاستثمار,Saudi Investment Bank,SIBCSARI,RIYADH,http://www.saib.com.sa/,البنوك المحلية,Local Banks,مزاولة أعمال مصرفية - تم توقيع الاتفاقية مع شركة فيرجن موبايل السعودية، وحصل البنك على عدم ممانعة البنك المركزي على مزاولة نشاط الوكالة المصرفية لـ (14) فرعًا: فرع بنده الوزارات، فرع نيستو-الصناعية الثانية، فرع لولو البطحاء، فرع لولو الخبر، فرع بنده النسيم ،فرع لولو خريص، فرع كارفور تالا مول، فرع بن داود شهار، فرع لولو الدمام مول، فرع لولو الحمدانية، فرع كارفور الراشد ميغا مول، فرع السوق الآسيوي مخرج 18 السلي، فرع لولو الخرج، فرع لولو الجبيل.,"Banking Business - Signed a banking agency agreement with Virgin Mobile Saudi Arabia. The bank obtained the Central Bank's no objection to provide the bank's services through agent banking at the following (14) branch locations: panda wazarat, nesto industrial II, lulu batha, lulu Khobar, Naseem panda, lulu khurais, carrefour tala mall, bindawood shehar, lulu mall Dammam, lulu hamdaniyah, carrefour rashid mega mall, Asian market exit 18 sulay, lulu al kharj, lulu Jubail.",7000029889,1010011570
9,بنك الجزيرة,Bank Al Jazira,BJAZSAJE,JEDDAH,http://www.baj.com.sa/,البنوك المحلية,Local Banks,مزاولة أعمال مصرفية-(حصل البنك على عدم ممانعة البنك المركزي على الاستفادة من نشاط الوكالة المصرفية),"Banking Business- (The bank obtained the Central Bank's no objection, to provide the bank's services through agent banking).",7000120712,4030010523
10,بنك البلاد,Bank Al Bilad,ALBISARI,RIYADH,http://www.bankalbilad.com/,البنوك المحلية,Local Banks,مزاولة أعمال مصرفية - تم توقيع الاتفاقية مع شركة سمسا للنقل السريع المحدودة، وحصل البنك على عدم ممانعة البنك المركزي على مزاولة نشاط الوكالة المصرفية في الفروع الواقعة في حي المونسية بمدينة الرياض، ومحافظة المزاحمية، ومحافظة رأس تنورة ومحافظة المجاردة، ومحافظة الدرب.,"Banking Business -A Banking Agency Agreement was Signed with SMSA Express Transportation Company; as the bank had already obtained the Central Bank's no objection to provide the banking services through Five branches in Al-Munsiyah district in Riyadh city, Al-Muzahimiyah Governorate, Ras Tanura Governorate, Al-Majardah Governorate and Al-Darb Governorate.",7001473102,1010208295
11,بنك الخليج الدولي - السعودية,Gulf International Bank Saudi Arabia (GIB-SA),GULFSARI,DHAHRAN,https://www.gib.com/ksa/,البنوك المحلية,Local Banks,مزاولة أعمال مصرفية,Banking Business,7001399042,2052001920
12,بنك الامارات دبي الوطني,Emirates NBD,EBILSARI,RIYADH,https://www.emiratesnbd.com.sa/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,7001460414,1010191741
13,بنك البحرين الوطني,National Bank of Bahrain (NBB),NBOBSARI,RIYADH,https://www.nbbonline.com/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,7001521397,1010232830
14,بنك الكويت الوطني,National Bank of Kuwait (NBK),NBOKSAJE,JEDDAH,https://www.nbk.com/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,7001472450,4030153575
15,بنك مسقط,Muscat Bank,BMUSSARI,RIYADH,http://www.bankmuscat.com/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,7001491195,1010217387
16,دويتشه بنك,Deutsche Bank,DEUTSARA,RIYADH,http://www.db.com/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,7001482681,1010217560
17,بنك بي إن بي باريبا,BNP Paribas,BNPASARI,RIYADH,http://www.bnpparibas.com/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,7001475404,1010208053
18,جي بي مورقان تشيز إن ايه,J.P. Morgan Chase N.A,CHASSARI,RIYADH,https://www.jpmorgan.com/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,7001490817,1010215443
19,بانك باكستان الوطني,National Bank of Pakistan (NBP),NBPASARI,RIYADH,http://www.nbp.com.pk/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,7001507644,1010231979
20,بنك تي سي زراعات بانكاسي,T.C.Ziraat Bankasi A.S.,TCZBSAJE,JEDDAH,http://www.ziraatbank.com.tr/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,7001579536,4030191561
21,بنك الصين للصناعة والتجارة,Industrial and Commercial Bank of China (ICBC),ICBKSARI,RIYADH,http://www.icbc.com.cn/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,7001851810,1010417837
22,بنك قطر الوطني,Qatar National Bank,QNBASARI,RIYADH,http://www.qnb.com/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,7010465180,1010464251
23,بنك إم يو إف جي المحدودة,"MUFG Bank, Ltd.",BOTKSARI,RIYADH,https://www.mufgemea.com/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,7003780140,1010610711
24,بنك أبو ظبي الأول,First Abu Dhabi Bank,FABMSARI,RIYADH,https://www.bankfab.com/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,7004453903,1010454604
25,يو بي إس إيه جي (كريديت سويس سابقاً),UBS AG Bank (Previously Credit Suisse),CRESSARY,RIYADH,https://www.ubs.com/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,7016875820,1010627691
26,بنك ستاندرد تشارترد,Standard Chartered Bank,SCBLSAR2,RIYADH,https://www.sc.com/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,7017273793,1010637670
27,المصرف الأهلي العراقي,National Bank of Iraq,NBIQSARI,RIYADH,https://www.nbi.iq/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,7025897864,1010744612
28,المصرف العراقي للتجارة,Trade bank of Iraq,-,-,http://tbi.com.iq/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية (مرخص ولم يباشر النشاط بعد),Banking Business (Licensed - has not started yet),7017487930,1010642862
29,بنك الصين المحدود,Bank of China Limited,BKCHSARI,RIYADH,https://www.boc.cn/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية (مرخص ولم يباشر النشاط بعد),Banking Business (Licensed - has not started yet),-,-
30,بنك مصر,Banque Misr,BMISSARI,RIYADH,https://www.banquemisr.com/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية (مرخص ولم يباشر النشاط بعد),Banking Business (Licensed - has not started yet),-,-
31,البنك الأهلي المصري,National Bank of Egypt,NBEGSARI,RIYADH,https://www.nbe.com.eg/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية (مرخص ولم يباشر النشاط بعد),Banking Business (Licensed - has not started yet),7030690569,1010824433
32,بنك صحار الدولي,Sohar International Bank,BSHRSARI,RIYADH,https://www.soharinternational.com/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية,Banking Business,-,-
33,بنك الأردن,Bank of Jordan,BJORSARI,RIYADH,https://bankofjordan.com/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية (مرخص ولم يباشر النشاط بعد),Banking Business (Licensed - has not started yet),-,-
34,بنك أبوظبي التجاري,Abu Dhabi Commercial Bank,-,-,https://www.adcb.com/,فروع البنوك الأجنبية,Foreign Banks,مزاولة أعمال مصرفية (مرخص ولم يباشر النشاط بعد),Banking Business (Licensed - has not started yet),-,-
35,بنك إس تي سي,STC Bank,STCJSARI,RIYADH,https://stcpay.com.sa/,البنوك الرقمية,Digital Banks,مزاولة أعمال مصرفية (مرخص – في مرحلة الإطلاق التجريبي),Banking Business (Licensed – pilot phase),-,-
36,بنك فيجن,Vision Bank,VIIOSARI,RIYADH,https://www.visionbank.com.sa/,البنوك الرقمية,Digital Banks,مزاولة أعمال مصرفية (مرخص ولم يباشر النشاط بعد),Banking Business (Licensed - has not started yet),-,-
37,بنك دال ثلاثمائة وستون,D360 Bank,DBAKSARI,RIYADH,https://d360.com/,البنوك الرقمية,Digital Banks,مزاولة أعمال مصرفية (مرخص – في مرحلة الإطلاق التجريبي),Banking Business (Licensed – pilot phase),-,-